ID,lat,lon,Address
SF000406040,33.07,18.35,"أبو حمد, نهر النيل, السودان"
WA006111530,24.05,17.6,"Mellit, ولاية شمال دارفور, السودان"
SF005088250,25.75,25.97,"الوادي الجديد, مصر"
WA008326850,21.92,18.88,"Ennedi Ouest إنيدي الغربية, Tchad تشاد"
SF002930070,28.62,26.02,"الوادي الجديد, مصر"
SF005124810,25.52,27.78,"مطروح, مصر"
LYE00147743,32.9,13.18,"الجبلين, ولاية النيل الأبيض, السودان"
SF002307740,29.87,25.97,"Darb el-Tawil, الوادي الجديد, مصر"
SF002633160,29.25,27.18,"Darb Asyut, الوادي الجديد, مصر"
WA008760370,21.12,18.53,"Ennedi Ouest إنيدي الغربية, Tchad تشاد"
SF003053080,28.63,32.18,"البحر الأحمر, مصر"
CD000064753,18.0,19.167,"Tibesti تيبستي, Tchad تشاد"
WA006964920,23.2,16.78,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
SG000061612,16.633,-14.917,"Cuvango, Huíla, Angola"
SF001522590,31.37,28.6,"بنى سويف, مصر"
SF002961570,28.62,27.6,"الوادي الجديد, مصر"
WA010096390,19.65,17.87,"Borkou بوركو, Tchad تشاد"
LYE00147742,32.8697,13.22,"ربك, الجبلين, ولاية النيل الأبيض, السودان"
SF000413470,33.28,18.7,"أبو حمد, نهر النيل, السودان"
SF004434510,26.53,30.27,"مطروح, مصر"
SF006792270,23.8,30.13,"البطنان, ليبيا"
SF000298630,33.9,23.0,"البحر الأحمر, مصر"
SF003223290,28.48,23.67,"الوادي الجديد, مصر"
SF000287710,33.85,22.45,"البحر الأحمر, مصر"
SF005162850,25.75,29.67,"مطروح, مصر"
SLM00061892,8.65,-10.967,"Bona Street, Kamadu, Koidu, Kono District, Eastern Province, Sierra Leone"
SF000456110,33.2,20.867,"أبو حمد, نهر النيل, السودان"
SF002035950,30.42,26.83,"الوادي الجديد, مصر"
SF004712590,26.32,25.65,"الوادي الجديد, مصر"
SF000800720,32.7,27.53,"أسيوط, مصر"
CGM00064207,-5.8,13.433,"Diouna, Cercle de Ségou, Ségou, Mali"
TSE00147778,33.8697,10.77,"الباو, ولاية النيل الأزرق, السودان"
SF002267710,29.83,23.93,"الوادي الجديد, مصر"
SF001267240,31.57,28.43,"بنى سويف, مصر"
SF000423570,33.45,19.2,"أبو حمد, نهر النيل, السودان"
SF002588940,29.4,25.0,"الوادي الجديد, مصر"
SF003691170,27.97,29.07,"D152, مطروح, مصر"
AGE00147719,33.7997,2.89,"Labwor, Abim, Northern Region, Uganda"
SF004062210,27.18,29.65,"مطروح, مصر"
WA007393660,22.6,16.72,"Tibesti تيبستي, Tchad تشاد"
SF000793960,32.62,27.23,"سوهاج, مصر"
WA007846300,22.5,17.35,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
SF004368550,26.75,26.98,"الوادي الجديد, مصر"
CF000004453,-2.53,14.77,"Cercle de Douentza, Mopti, Mali"
SF000207460,33.93,18.42,"بربر, نهر النيل, السودان"
SF000315070,33.97,23.78,"البحر الأحمر, مصر"
CGM00064005,0.023,18.289,"Cercle de Bourem, Gao, Mali"
TSM00060745,34.422,8.823,"Kelem Wellega, ኦሮሚያ ክልል / Oromia, ኢትዮጵያ"
SF004371940,26.73,27.12,"الوادي الجديد, مصر"
MR000001499,16.73,-9.63,"Malanje, Angola"
SF006365180,24.13,30.3,"البطنان, ليبيا"
IV000005557,6.13,-5.95,"Dar es Salam, Gagnoa, Gôh, Gôh-Djiboua, Côte d’Ivoire"
SUM00062810,11.138,29.701,"نالوت, ليبيا"
SF001147470,31.95,22.42,"أسوان, مصر"
SF001023690,32.17,27.72,"أسيوط, مصر"
SF003643220,27.87,26.68,"الوادي الجديد, مصر"
SF002954050,28.75,27.23,"الوادي الجديد, مصر"
SF003697850,27.58,29.45,"مطروح, مصر"
LYM00062008,32.083,12.55,"كوستي, ولاية النيل الأبيض, السودان"
SF000561390,33.32,26.08,"قنا, مصر"
TOM00065352,10.367,0.467,"Komo, Estuaire, Gabon"
SF002041380,30.3,27.08,"الوادي الجديد, مصر"
EGM00062318,31.184,29.949,"طريق سقاره السياحى, شبرمنت, الجيزة, 12947, مصر"
EGE00147730,29.86,31.34,"الإسكندرية, 21519, مصر"
EGE00147724,31.55,25.18,"الوادي الجديد, مصر"
WA007407110,22.85,17.4,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
SF000140630,34.05,23.05,"البحر الأحمر, مصر"
SU000062790,12.05,24.883,"مرزق, ليبيا"
SF000901760,32.43,21.6,"الولاية الشمالية, السودان"
SF001174870,31.62,23.78,"الوادي الجديد, مصر"
ET000063471,9.6,41.85,"France métropolitaine, France"
SF005123950,25.58,27.73,"الوادي الجديد, مصر"
SF000930740,32.23,23.05,"أسوان, مصر"
SF003355500,28.17,30.32,"مطروح, مصر"
SF000994960,32.27,26.28,"سوهاج, مصر"
WA003124220,28.03,18.75,"الولاية الشمالية, السودان"
SF002086350,30.1,29.37,"الجيزة, مصر"
MA000067019,14.633,47.767,"Schönau an der Enns, Weyer, Bezirk Steyr-Land, 3335, Österreich"
SF000241970,33.78,20.13,"بورتسودان, البحر الأحمر, 79800, السودان"
ZI000067865,18.933,29.833,"الواحات, ليبيا"
NIM00065101,8.44,4.494,"Ndian, Southwest, Cameroun"
AGM00060452,35.817,-0.267,"Elburgon-Mutamaiyu Road, Sumeek sublocation, Mlimani, Elburgon ward, Molo, Nakuru, Rift Valley, 20102, Kenya"
IV000009999,5.25,-3.93,"Rue d'Adjoufou, Adjifou Un, Port-Bouët, Abidjan, Côte d’Ivoire"
MA000067009,12.35,49.3,"Stollenweg, Windmais, Bodenwöhr, Landkreis Schwandorf, Bayern, 92439, Deutschland"
MAM00067025,14.999,50.32,"91, Charvatce, okres Mladá Boleslav, Střední Čechy, 294 45, Česko"
TZ000063790,-3.35,37.333,"Camino de las Canteras, Diezma, Comarca de Guadix, Granada, Andalucía, 18180, España"
NGM00061091,12.983,8.933,"Koza, Touroua, Bénoué, Nord, Cameroun"
ZI000067861,18.217,28.933,"سرت, ليبيا"
NGM00061085,13.373,12.627,"Goni Abbari, Kingarawa, Guzamala, Borno, Nigeria"
SF000698560,32.77,22.48,"أسوان, مصر"
WA003102220,28.2,17.63,"الولاية الشمالية, السودان"
MLM00061235,15.117,-10.567,"Cuanza Sul, Angola"
SF003921480,27.5,22.63,"الوادي الجديد, مصر"
SF000300900,34.03,23.08,"البحر الأحمر, مصر"
WA005321730,25.38,19.1,"Mellit, ولاية شمال دارفور, السودان"
SF003266680,28.15,25.9,"الوادي الجديد, مصر"
SF001212750,31.58,25.67,"الوادي الجديد, مصر"
WA009585120,20.03,14.8,"Batha البطحة, Tchad تشاد"
WA006084880,24.13,16.28,"كتم, ولاية شمال دارفور, السودان"
SF001770450,30.75,27.53,"أسيوط, مصر"
SF001820130,30.73,30.0,"الجيزة, مصر"
GHM00065404,10.083,-2.508,"Ogooué-Maritime, Gabon"
KEM00063686,0.404,35.239,"Nesmoth ⵏⴻⵙⵎⵓⵟ نسموط, Daïra Hachem, Mascara, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر"
SFM00068816,33.965,18.602,"بربر, نهر النيل, السودان"
SF000896430,32.22,21.37,"الولاية الشمالية, السودان"
SF001608070,30.95,19.45,"الولاية الشمالية, السودان"
SF006751820,23.53,28.12,"الواحات, ليبيا"
SF004777720,26.37,28.93,"مطروح, مصر"
AGM00060640,26.724,8.623,"Aweil Centre, Northern Bahr el Ghazal, South Sudan جنوب السودان"
SF002637920,29.2,27.48,"الوادي الجديد, مصر"
SF002624790,29.5,26.77,"الوادي الجديد, مصر"
SF004761630,26.22,28.1,"مطروح, مصر"
WA011018280,18.8,16.97,"Borkou بوركو, Tchad تشاد"
LYM00062018,30.567,15.717,"Sowdari, ولاية شمال كردفان, السودان"
WA006097340,24.23,16.92,"Mellit, ولاية شمال دارفور, السودان"
SF000951190,32.48,24.07,"أسوان, مصر"
SF005087210,25.52,25.92,"الوادي الجديد, مصر"
SF001025420,32.03,27.82,"أسيوط, مصر"
MR000001489,16.5,-15.82,"Cunene, Angola"
BC012192590,17.817,25.15,"مرزق, ليبيا"
SF000341380,33.8,25.08,"Barrâmîya, البحر الأحمر, مصر"
SF000974270,32.12,25.25,"الوادي الجديد, مصر"
SF000207470,33.95,18.42,"بربر, نهر النيل, السودان"
WA012064960,17.77,18.78,"Borkou بوركو, Tchad تشاد"
TSE00147768,37.25,9.8,"Horo Guduru, ኦሮሚያ ክልል / Oromia, ኢትዮጵያ"
AGM00060536,34.867,0.15,"E294, Muhudu, Cheptulu, Shiru ward, Hamisi, Vihiga, Western, Kenya"
AGE00147709,36.63,4.2,"El Yibo, Illeret ward, North Horr, Marsabit, Eastern, Kenya"
SF004334940,26.73,25.28,"الوادي الجديد, مصر"
AGM00060522,34.82,-1.77,"Mbalibali, Serengeti, Mara, Lake Zone, Tanzania"
LYE00147746,31.2,16.5797,"الولاية الشمالية, السودان"
MP000061986,16.45,59.617,"Cpl Västerleden, Erikslund, Västerås, Västerås kommun, Västmanlands län, Sverige"
WA010518000,19.33,15.95,"Batha البطحة, Tchad تشاد"
